Sender,Total Burned (MOOJ),Rank
IKR24JY2EPVFAIUZERM4IKEGPOLNQIW62ATDSAOX5IZLUFOBLUMEZIANKU,753.947097,181
VXIMNJ777OU6UO5JZCZPSBHLLWMSXIFQ3CZJ3QGJS4OBHLCLRFYSLI55CU,753.947097,182
TZ4EQJVFMY7ZYRMJ5MT23LWE7MOMD4U3K45QJ7I5LY5AZYT2SOVLBYLKEE,753.947097,183
UDDF7GDABD272Z3I3VFYISF3C6AIQHL64XSEP364IYCAINR3A5JE4LTJZM,753.947097,184
GSAQU2UNECTNKKMQFUJIXUD7RY3TOVNEMVQXRDZFLXAVIP3QQWIC434HBY,753.947097,185
H7PMG7VDWMQHVDORQKEEQT47QNQCMCHKKKDSP7HRHW62VW6EFBFYC2JUN4,753.947097,186
ZWSTKPC6OQOZPCPZ6NWQZGJMJYJGMRSGKU52X747H5LYS44J2BM7ES5OJU,753.947097,187
5Q4RA3FF7ED3OALQ2GVMFOXAYLMWJQTP5JEU23TWUD3J27PYVPEPU4F4UU,753.947097,188
44ZOEWEOHEXNHB6KGGSFLJCNHOC7L535D5C44RSVNC4USAAXTXFUVFB2UU,753.947097,189
A2KGCG7TKWIICI5X6M2OFCEDYCLR4OWT7DVNFZLMYFONPNE33YI7CWSENA,753.947097,190
7XF3GHLTFK6MQA2EVBOKL2HMVMHXDLX7WNXNKRPLM24EJJ4WMW2HXOZ4J4,753.947097,191
6HREIILIOYGGQ5ZQJV7YB4YXZRLJKOZEITT7SWUZAQWNFZBWJBICYN6KAA,753.947097,192
3PGYJ7AK5EDW7NKKHIQF5QDGFUYGNNAUUASCYYEUA4WDFAX6PHPQMC7SXE,753.947097,193
7VQ6BCC6U4BSHLZ7KLFAIWPT2AI6GU2NTH46US64MB4ZY32YEULF6F4E7E,753.947097,194
CSQC372IWRYDBLINHJ6BZOT6DPTKIQUOYZFWS23GGURYJXIHYTOAU6S2BA,753.947097,195
3LJK6Z4NBRQHJSUO4V6EMTI7CYQSDXVMJJCRM2XJ6PZGPTGEFK73J4XAKI,753.947097,196
AUA2NI7YSGYDLOEDIKQ7KQMN7L634SPR2CFEOGTXEJ3LKSSSTAOVAB3JFQ,753.947097,197
7GEOCE7EZKG3S2HIOAVC4W4UJPQ5JTXZ6R5EMN2XZRDK4VNCGKOQWNHOQA,753.947097,198
AUFHIVILSOWZKLCVRJAXYTWODUGL47BCOP6SYCDSGSE7BH4GKPDK4SHGCY,753.947097,199
BRZ642Q42L7QSPWYIRSH6LYOP23WH7MEMO5LWK36A6OAI53S6HDHCA4OF4,753.947097,200
5AMW6HBNYF5DBEGYU2YFV5K6ND6EIXNH6F4TK3SZCDKAZZARQRTOAFBLIQ,753.947097,201
